"","V.AOPg..ca_kes..KE_EID","V.AOPg..ca_kes..KE_name"
"70",1028,"Activation of specific nuclear receptors, PPAR-gamma activation"
"71",1029,"Increased, adipogenesis"
"72",1032,"Increased, secretion of local growth factors"
"73",1033,"Increased, proliferation of mesenchymal cells"
"74",1045,"Decreased, Ovarian E2"
"75",1046,"Suppression, Estrogen receptor (ER) activity"
"76",1056,"Decrease, E2 blood concentrations at hypothalamus"
"77",1047,"Increased, secretion of GnRH from hypothalamus"
"78",1049,"Increased, secrection of FSH from anterior pituitary"
"79",1050,"Increased, secretion of LH from anterior pituitary"
"80",1052,"Hyperplasia, ovarian epithelium"
"81",1051,"Hyperplasia, ovarian stromal cells"
"82",1064,"prepubertal increase, Estrogen receptor (ER) activity"
"83",1065,"Activation, estrogen receptor alpha"
"84",1066,"Promotion, SIX-1 postive basal-type progenitor cells"
"85",1067,"Proliferation/Clonal Expansion, aberrant basal cells"
"86",1068,"squamous metaplasia, aberrant basal cells"
"87",1069,"Increased, Hyperplasia (glandular epithelial cells of endometrium)"
"88",1088,"Increased, Oxidative Stress"
"89",1181,"Activation, Estrogen receptor"
"90",1182,"Increase, Cell Proliferation (Epithelial Cells)"
"91",1183,"Decreased, Apoptosis (Epithelial Cells)"
"92",1187,"Increased, ER binding to DNA (classical pathway)"
"93",1188,"Increased, ER binding to T.F. to DNA (non-classical pathway)"
"94",1192,"Increased, Ductal Hyperplasia"
"95",1189,"Increased, Proliferation (Endothelial cells)"
"96",1190,"Increased, Migration (Endothelial Cells)"
"97",1191,"Increased, Non-genomic signaling"
"98",1239,"Altered, Gene Expression"
"99",1240,"Altered, Protein Production"
"100",1194,"Increased, DNA Damage"
"101",1241,"Increased, Motility"
"102",1242,"Increased, Second Messenger Production"
"103",1270,"Inactivation of PPAR?"
"104",1271,"Activation of TGF-? signaling"
"105",1272,"Differentiation of Myofibroblast"
"106",1273,"Expression of Collagen"
"107",1274,"Production of ?-smooth muscle actin"
"108",1275,"Collagen Deposition"
"109",176,"Damaging, Mitochondria"
"110",360,"Decrease, Population trajectory"
"111",360,"Decrease, Population trajectory"
"112",363,"Altered, Reproductive behaviour"
"113",364,"Impaired development of, Reproductive organs"
"114",346,"Undefined, Liver Steatosis"
"115",339,"Altered, Larval development"
"116",319,"Loss, Cochlear function"
"117",459,"Increased, Liver Steatosis"
"118",459,"Increased, Liver Steatosis"
"119",773,"Increase, Endometrial adenocarcinomas"
"120",1034,"Increased, IGF-1 (mouse)"
"121",1035,"Increased, Firbrosarcoma"
"122",1036,"Increased, liposarcoma"
"123",1037,"Increased, hemagiosarcoma"
"124",1053,"Promotion, ovarian adenomas"
"125",1054,"Promotion, ovarian granular cell tumors"
"126",1070,"Increased, adenosquamous carcinomas of endometrium"
"127",1193,"N/A, Breast Cancer"
"128",1213,"Increased, Angiogenesis"
"129",1196,"Increased, Invasion"
"130",1276,"Lung fibrosis"
