Upstream KE	Downstream KE	Directness	Evidence	Quantitative Understanding
"Reduced, Anterior swim bladder inflation"	"Reduced, Swimming performance"	Directly 		
"Reduced, Swimming performance"	"Reduced, Young of year survival"	Directly 		
"Thyroperoxidase, Inhibition"	"TH synthesis, Decreased"	Directly 		
"TH synthesis, Decreased"	"T4 in serum, Decreased"	Directly 		
"Thyroperoxidase, Inhibition"	"T4 in serum, Decreased"	Indirectly 		
Excessive ROS formation	"Increase, Oxidative Stress"	Directly 	Strong	Strong
"Increase, Oxidative Stress"	"Increased, DNA Damage"	Directly 	Strong	Moderate
"Increased, DNA Damage"	"Increase, Apoptosis"	Directly 	Strong	Moderate
"Increase, Apoptosis"	"Decrease, Oogenesis"	Directly 	Weak	Weak
"Decrease, Oogenesis"	"Decrease, Ovulation"	Directly 	Moderate	Weak
"Decrease, Ovulation"	"Decreased, Fertility"	Directly 	Strong	Strong
"Decreased, Fertility"	"Decrease, Population trajectory"	Directly 	Moderate	Weak
