AOPs	Relationships	Upstream KE	Downstream KE	Directness	Evidence	Quantitative Understanding	KEup-ID	KEdn-ID	KEup_loo	KEdn_loo
8	85	"Activation, Constitutive androstane receptor, NR1l3"	"Induction, Upregulation of glucuronyltransferase activity"	Directly leads to	Moderate	Weak	71	295	molecular	molecular
193	1205	"Activation, Hepatic nuclear receptor(s)"	"Induction, Upregulation of glucuronyltransferase activity"	Directly leads to	Moderate	Weak	1157	295		
8	265	"Activation, Pregnane-X receptor, NR1l2"	"Induction, Upregulation of glucuronyltransferase activity"	Directly leads to	Strong	Weak	239	295	molecular	molecular
8	297	"Damage, Structure of the cochlea"	"Loss, Cochlear function"	Directly leads to	Moderate		267	319	tissue	organ
54	358	"Synaptogenesis, Decreased"	"Neuronal network function, Decreased"	Directly leads to	Weak	Weak	385	386		
156	1035	"Decreased, Triiodothyronine (T3) in serum"	"Reduced, Anterior swim bladder inflation"	Directly leads to			1003	1007		
158	1045	"Inhibition, Deiodinase 1"	"Reduced, Anterior swim bladder inflation"	Indirectly leads to			1009	1007		
156	1043	"Inhibition, Deiodinase 2"	"Reduced, Anterior swim bladder inflation"	Indirectly leads to			1002	1007		
155	1031	"Reduced, Posterior swim bladder inflation"	"Reduced, Anterior swim bladder inflation"	Directly leads to			1004	1007		
155	1032	"Reduced, Anterior swim bladder inflation"	"Reduced, Hearing"	Directly leads to			1007	1008		
155	1027	"Decreased, Triiodothyronine (T3) in serum"	"Reduced, Posterior swim bladder inflation"	Directly leads to			1003	1004		
157	1044	"Inhibition, Deiodinase 1"	"Reduced, Posterior swim bladder inflation"	Indirectly leads to			1009	1004		
155	1042	"Inhibition, Deiodinase 2"	"Reduced, Posterior swim bladder inflation"	Indirectly leads to			1002	1004		
155	1034	"Reduced, Anterior swim bladder inflation"	"Reduced, Swimming performance"	Directly leads to			1007	1005		
155	1028	"Reduced, Posterior swim bladder inflation"	"Reduced, Swimming performance"	Directly leads to			1004	1005		
155	1033	"Reduced, Hearing"	"Reduced, Young of year survival"	Directly leads to			1008	1006		
155	1041	"Reduced, Posterior swim bladder inflation"	"Reduced, Young of year survival"	Indirectly leads to	Strong	Weak	1004	1006		
155	1029	"Reduced, Swimming performance"	"Reduced, Young of year survival"	Directly leads to			1005	1006		
54	448	"BDNF, Reduced"	"Synaptogenesis, Decreased"	Indirectly leads to	Moderate	Weak	381	385		
54	871	"GABAergic interneurons, Decreased"	"Synaptogenesis, Decreased"	Directly leads to	Strong	Weak	851	385		
42	312	"T4 in serum, Decreased"	"T4 in neuronal tissue, Decreased"	Directly leads to	Moderate	Weak	281	280		
8	382	"Increase, Biliary excretion TH glucuronide"	"T4 in serum, Decreased"	Directly leads to	Moderate	Weak	401	259	organ	organ
8	381	"Induction, Upregulation of glucuronyltransferase activity"	"T4 in serum, Decreased"	Indirectly leads to	Strong	Weak	295	259	molecular	organ
42	305	"TH synthesis, Decreased"	"T4 in serum, Decreased"	Directly leads to	Strong	Moderate	277	281		
42	366	"Thyroperoxidase, Inhibition"	"T4 in serum, Decreased"	Indirectly leads to	Strong	Moderate	279	281		
193	1203	"Inhibition, Dual oxidase"	"TH synthesis, Decreased"	Directly leads to	Moderate	Weak	1156	277		
192	1202	"Inhibition, Pendrin"	"TH synthesis, Decreased"	Directly leads to	Weak	Weak	1155	277		
54	872	"Thyroidal Iodide, Decreased"	"TH synthesis, Decreased"	Directly leads to	Strong	Strong	425	277		
42	309	"Thyroperoxidase, Inhibition"	"TH synthesis, Decreased"	Directly leads to	Strong	Weak	279	277		
188	1197	"Inhibition, Iodotyrosine deiodinase (IYD)"	"Thyroidal Iodide, Decreased"	Directly leads to	Weak	Weak	1152	425		
54	442	"Inhibition, Na+/I- symporter (NIS)"	"Thyroidal Iodide, Decreased"	Directly leads to	Strong	Strong	424	425		
