AOP	AOP name	Event	Level of Organisation	Event Action	Action
Aop:8	"Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals"	Event:280	Organ	Decreased	decreased concentration
Aop:8	"Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals"	Event:756	Tissue	Altered	deviation(from_normal)
Aop:8	"Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals"	Event:757	Organ	Altered	abnormal
Aop:8	"Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals"	Event:758	Tissue	Decreased	decreased process quality
Aop:8	"Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals"	Event:319	Organ	Loss	increased object quality
Aop:10	Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures	Event:667	Molecular	Binding at picrotoxin site	increased process quality
Aop:10	Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures	Event:64	Cellular	Reduction	decreased process quality
Aop:10	Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures	Event:616	Tissue	Occurrence	occurrence
Aop:10	Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures	Event:669	Cellular	Reduction	decreased process quality
Aop:10	Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures	Event:682	Tissue	Generation	occurrence
Aop:10	Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures	Event:613	Individual	Occurrence	occurrence
Aop:11	Percellome Toxicogenomics Approach for AOP Building: Case study on Pentachlorophenol	Event:245	Molecular	Activation	
Aop:12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration in aging	Event:201	Molecular	Binding of antagonist	decreased process quality
Aop:12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration in aging	Event:195	Molecular	Inhibition	decreased process quality
Aop:12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration in aging	Event:52	Cellular	Decreased	decreased process quality
Aop:12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration in aging	Event:381	Molecular	Reduced	decreased process quality
Aop:12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration in aging	Event:381	Molecular	Reduced	decreased process quality
Aop:12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration in aging	Event:55	Cellular	N/A	increased process quality
Aop:12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration in aging	Event:188	Tissue	N/A	pathological
Aop:12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration in aging	Event:352	Tissue	N/A	increased process quality
Aop:12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration in aging	Event:341	Individual	Impairment	decreased process quality
Aop:12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration in aging	Event:341	Individual	Impairment	decreased process quality
Aop:12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration in aging	Event:385	Cellular	Decreased	decreased process quality
Aop:13	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities	Event:201	Molecular	Binding of antagonist	decreased process quality
Aop:13	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities	Event:195	Molecular	Inhibition	decreased process quality
Aop:13	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities	Event:52	Cellular	Decreased	decreased process quality
Aop:13	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities	Event:381	Molecular	Reduced	decreased process quality
Aop:13	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities	Event:381	Molecular	Reduced	decreased process quality
Aop:13	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities	Event:382	Cellular	Aberrant	abnormal
Aop:13	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities	Event:383	Molecular	Reduced	decreased process quality
Aop:13	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities	Event:55	Cellular	N/A	increased process quality
Aop:13	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities	Event:385	Cellular	Decreased	decreased process quality
Aop:13	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities	Event:386	Organ	Decreased	decreased process quality
Aop:13	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities	Event:341	Individual	Impairment	decreased process quality
Aop:13	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities	Event:341	Individual	Impairment	decreased process quality
Aop:14	Glucocorticoid Receptor Activation Leading to Increased Disease Susceptibility	Event:122	Molecular	Activation	increased process quality
Aop:14	Glucocorticoid Receptor Activation Leading to Increased Disease Susceptibility	Event:202	Molecular	Inhibition	decreased process quality
Aop:14	Glucocorticoid Receptor Activation Leading to Increased Disease Susceptibility	Event:152	Individual	Suppression	decreased process quality
Aop:14	Glucocorticoid Receptor Activation Leading to Increased Disease Susceptibility	Event:168	Individual	Decreased	decreased amount
Aop:14	Glucocorticoid Receptor Activation Leading to Increased Disease Susceptibility	Event:145	Cellular	Induction	increased process quality
Aop:14	Glucocorticoid Receptor Activation Leading to Increased Disease Susceptibility	Event:403	Individual	Suppression	increased process quality
Aop:14	Glucocorticoid Receptor Activation Leading to Increased Disease Susceptibility	Event:323	Individual	Increased	increased process quality
Aop:15	Alkylation of DNA in male pre-meiotic germ cells leading to heritable mutations	Event:97	Molecular	Alkylation	increased process quality
Aop:15	Alkylation of DNA in male pre-meiotic germ cells leading to heritable mutations	Event:185	Molecular	Increase	increased process quality
Aop:15	Alkylation of DNA in male pre-meiotic germ cells leading to heritable mutations	Event:336	Individual	Increase	increased process quality
Aop:15	Alkylation of DNA in male pre-meiotic germ cells leading to heritable mutations	Event:155	Cellular	N/A	insufficient
Aop:16	Acetylcholinesterase inhibition leading to acute mortality	Event:12	Cellular	Inhibition	decreased process quality
Aop:16	Acetylcholinesterase inhibition leading to acute mortality	Event:10	Cellular	Accumulation	increased amount
Aop:16	Acetylcholinesterase inhibition leading to acute mortality	Event:444	Organ	Increased	increased object quality
Aop:16	Acetylcholinesterase inhibition leading to acute mortality	Event:444	Organ	Increased	increased object quality
Aop:16	Acetylcholinesterase inhibition leading to acute mortality	Event:445	Organ	Increased	increased object quality
Aop:16	Acetylcholinesterase inhibition leading to acute mortality	Event:39	Organ	Induction	increased object quality
Aop:16	Acetylcholinesterase inhibition leading to acute mortality	Event:39	Organ	Induction	increased object quality
Aop:16	Acetylcholinesterase inhibition leading to acute mortality	Event:39	Organ	Induction	increased object quality
Aop:16	Acetylcholinesterase inhibition leading to acute mortality	Event:442	Individual	Decreased	decreased rate
Aop:16	Acetylcholinesterase inhibition leading to acute mortality	Event:351	Population	Increased	increased process quality
Aop:17	Binding to SH/selen-proteins can trigger neuroinflammation leading to neurodegeneration	Event:261	Molecular	Binding	occurrence
Aop:17	Binding to SH/selen-proteins can trigger neuroinflammation leading to neurodegeneration	Event:158	Cellular	N/A	disrupted
Aop:17	Binding to SH/selen-proteins can trigger neuroinflammation leading to neurodegeneration	Event:130	Cellular	Depletion	decreased concentration
Aop:17	Binding to SH/selen-proteins can trigger neuroinflammation leading to neurodegeneration	Event:210	Cellular	N/A	occurrence
Aop:17	Binding to SH/selen-proteins can trigger neuroinflammation leading to neurodegeneration	Event:191	Cellular	N/A	increased process quality
Aop:17	Binding to SH/selen-proteins can trigger neuroinflammation leading to neurodegeneration	Event:188	Tissue	N/A	pathological
Aop:17	Binding to SH/selen-proteins can trigger neuroinflammation leading to neurodegeneration	Event:352	Tissue	N/A	increased object quality
Aop:18	PPARalpha activation in utero leading to impaired fertility in males	Event:227	Molecular	Activation	increased process quality
Aop:18	PPARalpha activation in utero leading to impaired fertility in males	Event:266	Cellular	Decrease	decreased process quality
Aop:18	PPARalpha activation in utero leading to impaired fertility in males	Event:289	Cellular	Decrease	decreased process quality
Aop:18	PPARalpha activation in utero leading to impaired fertility in males	Event:447	Cellular	Reduction	decreased process quality
Aop:18	PPARalpha activation in utero leading to impaired fertility in males	Event:413	Cellular	Reduction	decreased process quality
Aop:18	PPARalpha activation in utero leading to impaired fertility in males	Event:446	Individual	Reduction	decreased object quality 
Aop:18	PPARalpha activation in utero leading to impaired fertility in males	Event:446	Individual	Reduction	decreased concentration
Aop:18	PPARalpha activation in utero leading to impaired fertility in males	Event:348	Individual	Malformation	malformed
Aop:18	PPARalpha activation in utero leading to impaired fertility in males	Event:406	Individual	impaired	decreased object quality
Aop:19	Androgen receptor antagonism leading to adverse effects in the male foetus (mammals)	Event:27	Molecular	N/A	decreased process quality
Aop:19	Androgen receptor antagonism leading to adverse effects in the male foetus (mammals)	Event:310	Cellular	Alteration	deviation(from_normal)
Aop:19	Androgen receptor antagonism leading to adverse effects in the male foetus (mammals)	Event:240	Organ	Feminisation or incomplete development	arrested
Aop:19	Androgen receptor antagonism leading to adverse effects in the male foetus (mammals)	Event:286	Cellular	Decreased	decreased process quality
Aop:19	Androgen receptor antagonism leading to adverse effects in the male foetus (mammals)	Event:286	Cellular	Decreased	decreased process quality
Aop:19	Androgen receptor antagonism leading to adverse effects in the male foetus (mammals)	Event:337	Individual	N/A	decreased object quality
Aop:21	Activation of the aryl hydrocarbon receptor (AhR) leading to early life stage mortality	Event:18	Molecular	Activation	increased process quality
Aop:21	Activation of the aryl hydrocarbon receptor (AhR) leading to early life stage mortality	Event:944	Molecular	"dimerization, AHR/ARNT"	disrupted
Aop:21	Activation of the aryl hydrocarbon receptor (AhR) leading to early life stage mortality	Event:944	Molecular	"dimerization, AHR/ARNT"	disrupted
Aop:21	Activation of the aryl hydrocarbon receptor (AhR) leading to early life stage mortality	Event:317	Organ	"Altered, Cardiovascular development/function"	deformed
Aop:21	Activation of the aryl hydrocarbon receptor (AhR) leading to early life stage mortality	Event:317	Organ	"Altered, Cardiovascular development/function"	deformed
Aop:21	Activation of the aryl hydrocarbon receptor (AhR) leading to early life stage mortality	Event:1269	Molecular	"Increase, COX-2 expression"	increased process quality
Aop:21	Activation of the aryl hydrocarbon receptor (AhR) leading to early life stage mortality	Event:350	Individual	"Increase, Mortality"	increased process quality
Aop:23	Androgen receptor agonism leading to reproductive dysfunction	Event:25	Molecular	Agonism	increased process quality
Aop:23	Androgen receptor agonism leading to reproductive dysfunction	Event:274	Cellular	Reduction	decreased process quality
Aop:23	Androgen receptor agonism leading to reproductive dysfunction	Event:3	Cellular	Reduction	decreased process quality
Aop:23	Androgen receptor agonism leading to reproductive dysfunction	Event:219	Organ	Reduction	decreased object quality 
Aop:23	Aromatase inhibition leading to reproductive dysfunction	Event:219	Organ	Reduction	decreased concentration
Aop:23	Androgen receptor agonism leading to reproductive dysfunction	Event:285	Tissue	Reduction	decreased process quality
Aop:23	Androgen receptor agonism leading to reproductive dysfunction	Event:78	Individual	Reduction	decreased amount
Aop:23	Androgen receptor agonism leading to reproductive dysfunction	Event:221	Organ	Reduction	decreased object quality 
Aop:23	Androgen receptor agonism leading to reproductive dysfunction	Event:221	Organ	Reduction	decreased concentration
Aop:23	Androgen receptor agonism leading to reproductive dysfunction	Event:309	Cellular	Reduction	decreased process quality
Aop:23	Androgen receptor agonism leading to reproductive dysfunction	Event:309	Cellular	Reduction	decreased process quality
Aop:23	Androgen receptor agonism leading to reproductive dysfunction	Event:309	Cellular	Reduction	decreased process quality
Aop:23	Androgen receptor agonism leading to reproductive dysfunction	Event:129	Organ	Reduction	decreased object quality 
Aop:23	Androgen receptor agonism leading to reproductive dysfunction	Event:129	Organ	Reduction	decreased concentration
Aop:23	Androgen receptor agonism leading to reproductive dysfunction	Event:129	Organ	Reduction	decreased concentration
Aop:23	Androgen receptor agonism leading to reproductive dysfunction	Event:360	Population	Decrease	decreased rate
Aop:24	Androgen receptor antagonism leading to reproductive dysfunction	Event:26	Molecular	Antagonism	decreased process quality
Aop:25	Aromatase inhibition leading to reproductive dysfunction	Event:36	Molecular	Inhibition	decreased process quality
Aop:25	Aromatase inhibition leading to reproductive dysfunction	Event:3	Cellular	Reduction	decreased process quality
Aop:25	Aromatase inhibition leading to reproductive dysfunction	Event:219	Organ	Reduction	decreased object quality 
Aop:25	Aromatase inhibition leading to reproductive dysfunction	Event:219	Organ	Reduction	decreased concentration
Aop:25	Aromatase inhibition leading to reproductive dysfunction	Event:285	Tissue	Reduction	decreased process quality
Aop:25	Aromatase inhibition leading to reproductive dysfunction	Event:221	Organ	Reduction	decreased object quality 
Aop:25	Aromatase inhibition leading to reproductive dysfunction	Event:221	Organ	Reduction	decreased concentration
Aop:25	Aromatase inhibition leading to reproductive dysfunction	Event:309	Cellular	Reduction	decreased process quality
Aop:25	Aromatase inhibition leading to reproductive dysfunction	Event:309	Cellular	Reduction	decreased process quality
Aop:25	Aromatase inhibition leading to reproductive dysfunction	Event:309	Cellular	Reduction	decreased process quality
Aop:25	Aromatase inhibition leading to reproductive dysfunction	Event:78	Individual	Reduction	decreased amount
Aop:25	Aromatase inhibition leading to reproductive dysfunction	Event:360	Population	Decrease	decreased rate
Aop:26	Calcium-mediated neuronal ROS production and energy imbalance	Event:51	Molecular	Inhibition	decreased process quality
Aop:26	Calcium-mediated neuronal ROS production and energy imbalance	Event:50	Cellular	Increase	increased amount
Aop:26	Calcium-mediated neuronal ROS production and energy imbalance	Event:178	Cellular	Disruption	disrupted
Aop:26	Calcium-mediated neuronal ROS production and energy imbalance	Event:40	Cellular	Decreased	decreased process quality
Aop:26	Calcium-mediated neuronal ROS production and energy imbalance	Event:257	Cellular	Increased	increased process quality
Aop:26	Calcium-mediated neuronal ROS production and energy imbalance	Event:193	Cellular	Decreased	decreased amount
Aop:26	Calcium-mediated neuronal ROS production and energy imbalance	Event:166	Organ	Decreased	decreased process quality
Aop:26	Calcium-mediated neuronal ROS production and energy imbalance	Event:356	Individual	Increased	increased object quality
Aop:27	Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11)	Event:41	Molecular	Inhibition	decreased process quality
Aop:27	Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11)	Event:288	Cellular	Activation of specific nuclear receptors	increased process quality
Aop:27	Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11)	Event:288	Cellular	Activation of specific nuclear receptors	increased process quality
Aop:27	Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11)	Event:288	Cellular	Activation of specific nuclear receptors	increased process quality
Aop:27	Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11)	Event:214	Cellular	Bile accumulation	increased amount
Aop:27	Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11)	Event:87	Cellular	Release	increased process quality
Aop:27	Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11)	Event:149	Cellular	Increase	increased process quality
Aop:27	Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11)	Event:249	Tissue	Production	increased process quality
Aop:27	Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11)	Event:209	Cellular	Increase	increased object quality
Aop:27	Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11)	Event:357	Individual	Cholestasis	occurrence
Aop:28	Cyclooxygenase inhibition leading reproductive failure	Event:79	Molecular	Inhibition	decreased process quality
Aop:28	Cyclooxygenase inhibition leading reproductive failure	Event:79	Molecular	Inhibition	decreased process quality
Aop:28	Cyclooxygenase inhibition leading reproductive failure	Event:243	Tissue	Reduction	decreased object quality 
Aop:28	Cyclooxygenase inhibition leading reproductive failure	Event:243	Tissue	Reduction	decreased concentration
Aop:28	Cyclooxygenase inhibition leading reproductive failure	Event:49	Tissue	Reduction	decreased process quality
Aop:28	Cyclooxygenase inhibition leading reproductive failure	Event:49	Tissue	Reduction	decreased process quality
Aop:28	Cyclooxygenase inhibition leading reproductive failure	Event:106	Tissue	Reduction	decreased thickness
Aop:28	Cyclooxygenase inhibition leading reproductive failure	Event:119	Tissue	N/A	damage
Aop:28	Cyclooxygenase inhibition leading reproductive failure	Event:253	Individual	N/A	deviation(from_normal)
Aop:29	Estrogen receptor agonism leading to reproductive dysfunction	Event:111	Molecular	Agonism	increased process quality
Aop:29	Estrogen receptor agonism leading to reproductive dysfunction	Event:78	Individual	Reduction	decreased amount
Aop:29	Estrogen receptor agonism leading to reproductive dysfunction	Event:220	Organ	Increase	increased object quality 
Aop:29	Estrogen receptor agonism leading to reproductive dysfunction	Event:220	Organ	Increase	increased concentration
Aop:29	Estrogen receptor agonism leading to reproductive dysfunction	Event:307	Tissue	Increase	increased process quality
Aop:29	Estrogen receptor agonism leading to reproductive dysfunction	Event:252	Organ	Increase	increased process quality
Aop:29	Estrogen receptor agonism leading to reproductive dysfunction	Event:360	Population	Decrease	decreased rate
Aop:29	Estrogen receptor agonism leading to reproductive dysfunction	Event:363	Individual	Altered	deviation(from_normal)
Aop:29	Estrogen receptor agonism leading to reproductive dysfunction	Event:339	Individual	Altered	deviation(from_normal)
Aop:29	Estrogen receptor agonism leading to reproductive dysfunction	Event:364	Individual	Impaired development of	abnormal
Aop:30	Estrogen receptor antagonism leading to reproductive dysfunction	Event:112	Molecular	Antagonism	decreased process quality
Aop:30	Estrogen receptor antagonism leading to reproductive dysfunction	Event:285	Tissue	Reduction	decreased process quality
Aop:30	Estrogen receptor antagonism leading to reproductive dysfunction	Event:221	Organ	Reduction	decreased concentration
Aop:30	Estrogen receptor antagonism leading to reproductive dysfunction	Event:221	Organ	Reduction	decreased concentration
Aop:30	Estrogen receptor antagonism leading to reproductive dysfunction	Event:309	Cellular	Reduction	decreased process quality
Aop:30	Estrogen receptor antagonism leading to reproductive dysfunction	Event:309	Cellular	Reduction	decreased process quality
Aop:30	Estrogen receptor antagonism leading to reproductive dysfunction	Event:309	Cellular	Reduction	decreased process quality
Aop:30	Estrogen receptor antagonism leading to reproductive dysfunction	Event:78	Individual	Reduction	decreased amount
Aop:30	Estrogen receptor antagonism leading to reproductive dysfunction	Event:360	Population	Decrease	decreased rate
Aop:31	Oxidation of iron in hemoglobin leading to hematotoxicity	Event:213	Molecular	N/A	increased process quality
Aop:31	Oxidation of iron in hemoglobin leading to hematotoxicity	Event:21	Cellular	Altered regulation	deviation(from_normal)
Aop:31	Oxidation of iron in hemoglobin leading to hematotoxicity	Event:211	Molecular	Propagation	increased process quality
Aop:31	Oxidation of iron in hemoglobin leading to hematotoxicity	Event:250	Cellular	Damaging	increased process quality
Aop:31	Oxidation of iron in hemoglobin leading to hematotoxicity	Event:118	Cellular	Formation	increased process quality
Aop:31	Oxidation of iron in hemoglobin leading to hematotoxicity	Event:118	Cellular	Formation	increased process quality
Aop:31	Oxidation of iron in hemoglobin leading to hematotoxicity	Event:131	Cellular	Down Regulation	decreased process quality
Aop:31	Oxidation of iron in hemoglobin leading to hematotoxicity	Event:246	Organ	Increase	increased object quality
Aop:31	Oxidation of iron in hemoglobin leading to hematotoxicity	Event:246	Organ	Increase	increased object quality
Aop:31	Oxidation of iron in hemoglobin leading to hematotoxicity	Event:161	Organ	Increase	increased object quality
Aop:31	Oxidation of iron in hemoglobin leading to hematotoxicity	Event:161	Organ	Increase	increased object quality
Aop:31	Oxidation of iron in hemoglobin leading to hematotoxicity	Event:173	Organ	N/A	increased object quality
Aop:31	Oxidation of iron in hemoglobin leading to hematotoxicity	Event:173	Organ	N/A	increased object quality
Aop:31	Oxidation of iron in hemoglobin leading to hematotoxicity	Event:173	Organ	N/A	increased object quality
Aop:31	Oxidation of iron in hemoglobin leading to hematotoxicity	Event:321	Individual	N/A	occurrence
Aop:32	"Inhibition of iNOS, hepatotoxicity, and regenerative proliferation leading to liver tumors"	Event:77	Cellular	Production	increased process quality
Aop:32	"Inhibition of iNOS, hepatotoxicity, and regenerative proliferation leading to liver tumors"	Event:77	Cellular	Production	increased process quality
Aop:32	"Inhibition of iNOS, hepatotoxicity, and regenerative proliferation leading to liver tumors"	Event:164	Organ	Induction	decreased object quality
Aop:32	"Inhibition of iNOS, hepatotoxicity, and regenerative proliferation leading to liver tumors"	Event:147	Cellular	Inhibition	decreased process quality
Aop:32	"Inhibition of iNOS, hepatotoxicity, and regenerative proliferation leading to liver tumors"	Event:270	Individual	Induction	increased process quality
Aop:32	"Inhibition of iNOS, hepatotoxicity, and regenerative proliferation leading to liver tumors"	Event:269	Cellular	Induction	increased process quality
Aop:32	"Inhibition of iNOS, hepatotoxicity, and regenerative proliferation leading to liver tumors"	Event:347	Individual	Formation	increased object quality
Aop:33	Kidney toxicity induced by activation of 5HT2C	Event:9	Molecular	Activation	increased process quality
Aop:33	Kidney toxicity induced by activation of 5HT2C	Event:294	Cellular	N/A	
Aop:33	Kidney toxicity induced by activation of 5HT2C	Event:759	Individual	Increased	increased object quality
Aop:34	LXR activation leading to hepatic steatosis	Event:167	Molecular	Activation	increased process quality
Aop:34	LXR activation leading to hepatic steatosis	Event:167	Molecular	Activation	increased process quality
Aop:34	LXR activation leading to hepatic steatosis	Event:228	Molecular	Activation	increased process quality
Aop:34	LXR activation leading to hepatic steatosis	Event:54	Molecular	Up Regulation	increased process quality
Aop:34	LXR activation leading to hepatic steatosis	Event:115	Cellular	Increase	increased process quality
Aop:34	LXR activation leading to hepatic steatosis	Event:66	Molecular	Activation	increased process quality
Aop:34	LXR activation leading to hepatic steatosis	Event:264	Molecular	Activation	increased process quality
Aop:34	LXR activation leading to hepatic steatosis	Event:116	Molecular	Activation	increased process quality
Aop:34	LXR activation leading to hepatic steatosis	Event:258	Molecular	Activation	increased process quality
Aop:34	LXR activation leading to hepatic steatosis	Event:89	Cellular	Synthesis	increased process quality
